Failure_Number,Time,JM_Failure_Intensity,JM_MTBF,NHPP_Failure_Intensity,NHPP_MTBF,Weibull_Failure_Intensity,Weibull_MTBF,Reliability_JM,Availability_JM,Reliability_NHPP,Availability_NHPP,Reliability_Weibull,Availability_Weibull
1,12.666416709763652,3.6500000000000004,0.273972602739726,0.8810295016144128,1.135035771410133,0.05968609301689153,16.754321642681383,1.4068617124461467e-16,0.12048192771084336,0.00011758204880591227,0.362048746544157,0.588410711545831,0.8933579130130536
2,33.99269808347125,3.6,0.2777777777777778,0.7118222975350085,1.4048450062086155,0.0977775349248297,10.22729812905172,2.319522830243569e-16,0.12195121951219513,0.00011758204880591227,0.412601749461996,0.588410711545831,0.836431566574135
3,122.13644016631463,3.5500000000000003,0.2816901408450704,0.2948276290673594,3.391812372413474,0.1853398872255403,5.395492653899692,3.824246628097135e-16,0.12345679012345677,0.00011758204880591227,0.629067211197343,0.588410711545831,0.7295650075528928
4,211.89470893718737,3.5,0.2857142857142857,0.12015807764696508,8.322370160898274,0.24412166411153263,4.096318135628991,6.30511676014699e-16,0.125,0.00011758204880591227,0.8062460492284889,0.588410711545831,0.6719331315222365
5,305.16750044255446,3.45,0.2898550724637681,0.04727966438216088,21.150742355466267,0.2929647751854623,3.4133796439075197,1.039538011670222e-15,0.12658227848101267,0.00011758204880591227,0.9136096817419003,0.588410711545831,0.6305450325748172
6,401.0789952494406,3.4000000000000004,0.2941176470588235,0.018119076372357663,55.19045118246717,0.3358622744725957,2.9774109091897842,1.713908431542013e-15,0.1282051282051282,0.00011758204880591227,0.9650291270894338,0.588410711545831,0.5981846714107121
7,512.871630929923,3.35,0.29850746268656714,0.005924160384266106,168.80029154104028,0.37979619034297973,2.6329911289972063,2.825757287115611e-15,0.12987012987012986,0.00011758204880591227,0.9882904181137218,0.588410711545831,0.568313440644793
8,629.0454746340143,3.3000000000000003,0.303030303030303,0.0018539166933055897,539.3985628431716,0.42061745058998273,2.3774572324503924,4.658886145103397e-15,0.13157894736842105,0.00011758204880591227,0.996305863854723,0.588410711545831,0.5431137544477048
9,754.6384420542187,3.25,0.3076923076923077,0.0005280157629972469,1893.8828536549088,0.460697364685049,2.1706223578761725,7.681204685202094e-15,0.13333333333333336,0.00011758204880591227,0.9989450825001427,0.588410711545831,0.520455263415777
10,884.4355646799659,3.2,0.3125,0.0001441933217210941,6935.133944235294,0.49874592987436045,2.0050288936731993,1.2664165549094176e-14,0.13513513513513514,0.00011758204880591227,0.9997116964994366,0.588410711545831,0.500627822396131
